"blind_item_id","user_story_id","question_text_raw","segment_id","segment_text","normalized_need","mapped_gap_id","mapping_status","notes"
"B0072","US02","[NEEDS CLARIFICATION] Are accepted material types required for every facility result, rather than optional “when known” details?","","","","","",""
"B0073","US02","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones to consider” beyond name, address, and distance?","","","","","",""
"B0074","US08","[NEEDS CLARIFICATION] If an estimator fails to submit, is there any timeout, cancellation, override, or manual reveal path, or must estimates remain hidden indefinitely?","","","","","",""
"B0075","US08","[NEEDS CLARIFICATION] What information may participants see while waiting: only a generic waiting state, or also submission progress such as “2 of 3 submitted”?","","","","","",""
"B0076","US08","[NEEDS CLARIFICATION] If an estimator becomes inactive or leaves before submitting, should the reveal wait indefinitely, exclude that estimator, or require some explicit session action before reveal?","","","","","",""
"B0077","US08","[NEEDS CLARIFICATION] While estimates are hidden, should participants see only that submissions are pending, or may they see submission status/counts such as “3 of 5 submitted” or which estimators have submitted?","","","","","",""
"B0078","US08","[NEEDS CLARIFICATION] What should happen if a required estimator never submits an estimate: should the draw wait indefinitely, allow an authorized override, or support a timeout/exclusion mechanism?","","","","","",""
"B0079","US08","[NEEDS CLARIFICATION] After automatic reveal has occurred, should the system block further estimate submissions entirely, or allow them while excluding them from the revealed result set?","","","","","",""
"B0080","US08","[NEEDS CLARIFICATION] Should estimators themselves also be prevented from seeing other estimates before the simultaneous reveal, or is this requirement limited to participants?","","","","","",""
"B0081","US08","[NEEDS CLARIFICATION] Are estimators themselves allowed to see any submitted estimates before they have submitted their own estimate, or does the hidden-until-complete rule apply to every participant role?","","","","","",""
"B0082","US08","[NEEDS CLARIFICATION] If a new estimator becomes active after a draw has already started but before reveal, should that estimator be included in the required set for that draw?","","","","","",""
"B0083","US08","[NEEDS CLARIFICATION] If one or more required estimators never submit an estimate, should the reveal wait indefinitely, expire/cancel the draw, or follow another existing workflow rule?","","","","","",""
"B0084","US08","[NEEDS CLARIFICATION] After estimates are revealed, should later estimate changes be blocked entirely, recorded but hidden, or allowed to update the revealed result set?","","","","","",""
"B0085","US08","[NEEDS CLARIFICATION] What should happen if an estimator submits after the estimates have already been revealed?","","","","","",""
"B0086","US08","[NEEDS CLARIFICATION] While waiting for reveal, should participants see only a generic waiting state, or may they see progress information such as number of submitted/missing estimates or estimator names?","","","","","",""
"B0087","US08","[NEEDS CLARIFICATION] Does “all estimators” mean every active estimator in the round, or only the estimators assigned/required for the specific draw?","","","","","",""
"B0088","US08","[NEEDS CLARIFICATION] Are revealed estimates visible to all round participants, including estimators, or only to non-estimating participant viewers?","","","","","",""
"B0089","US08","[NEEDS CLARIFICATION] Who is included in the “all estimators” set for a draw: every estimator assigned before the draw starts, only estimators currently active/available, or another defined required subset?","","","","","",""
"B0090","US08","[NEEDS CLARIFICATION] Are estimators themselves also allowed to view revealed estimates as participants, and if so must they be subject to the same hidden-until-complete reveal rule?","","","","","",""
"B0091","US08","[NEEDS CLARIFICATION] If an active estimator leaves the round after submitting an estimate but before reveal, should their submitted estimate remain in the revealed set or be excluded?","","","","","",""
"B0092","US08","[NEEDS CLARIFICATION] What should happen if a required estimator never submits an estimate for a draw?","","","","","",""
"B0093","US08","[NEEDS CLARIFICATION] Are estimators allowed to revise or resubmit estimates before the simultaneous reveal occurs?","","","","","",""
"B0094","US08","[NEEDS CLARIFICATION] Is the “required estimators” set fixed when the draw starts, or should it be recalculated from the active estimator list at reveal time?","","","","","",""
"B0095","US08","[NEEDS CLARIFICATION] Who counts as an “estimator required for that draw” when reveal readiness is evaluated?","","","","","",""
"B0096","US08","[NEEDS CLARIFICATION] If a new estimator becomes active after other estimators have already submitted but before reveal, must the system wait for that new estimator’s estimate before revealing?","","","","","",""
"B0097","US08","[NEEDS CLARIFICATION] After estimates have been revealed, are estimators allowed to revise their estimates, and if so should those revisions be shown, blocked, or tracked separately?","","","","","",""
"B0098","US08","[NEEDS CLARIFICATION] Does “participant” include estimators viewing the draw, or only non-estimating observers/participants?","","","","","",""
"B0099","US08","[NEEDS CLARIFICATION] If all estimators leave before reveal and the active estimator set becomes empty, should the round reveal no estimates, remain waiting, or enter a distinct “no estimates” state?","","","","","",""
"B0100","US08","[NEEDS CLARIFICATION] After reveal, should participants see estimates linked to estimator identities, anonymized, or according to an existing visibility rule?","","","","","",""
"B0101","US08","[NEEDS CLARIFICATION] Who exactly counts as “all estimators” for a draw, and at what point is that required estimator set finalized?","","","","","",""
"B0102","US08","[NEEDS CLARIFICATION] If the required estimator set changes after a draw has started, should reveal readiness use the original set or the updated set?","","","","","",""
"B0103","US08","[NEEDS CLARIFICATION] What should happen if a required estimator never submits an estimate: should the draw wait indefinitely, allow cancellation, allow an override, or use a timeout rule?","","","","","",""
"B0104","US08","[NEEDS CLARIFICATION] What should the participant see while waiting: only a generic waiting state, or also non-estimate metadata such as number of submitted estimates, missing estimator names, or progress count?","","","","","",""
"B0105","US08","[NEEDS CLARIFICATION] Are estimators themselves also considered participants/viewers who must be prevented from seeing any estimates before the simultaneous reveal, or does this visibility rule apply only to non-estimating participants?","","","","","",""
"B0106","US08","[NEEDS CLARIFICATION] When estimates are still hidden, should participants see only a generic waiting state or also progress information such as how many estimators have submitted?","","","","","",""
"B0107","US08","[NEEDS CLARIFICATION] Should the simultaneous reveal happen automatically in real time when the final required estimate is submitted, or is it acceptable for users to see it only after refreshing or re-opening the draw?","","","","","",""
"B0108","US08","[NEEDS CLARIFICATION] Are estimators themselves considered “participants” for estimate visibility, meaning they also must not see any other estimates before the simultaneous reveal?","","","","","",""
"B0109","US08","[NEEDS CLARIFICATION] Should reveal readiness be based on the current active estimators at the moment of evaluation, excluding estimators who leave the round before reveal?","","","","","",""
"B0110","US08","[NEEDS CLARIFICATION] If an estimator submits an estimate and then leaves the round before reveal, should their previously submitted estimate be excluded from the revealed set?","","","","","",""
"B0111","US08","[NEEDS CLARIFICATION] Who counts as a “required estimator” for a draw, and can that required set change after the draw has started?","","","","","",""
"B0112","US08","[NEEDS CLARIFICATION] Must the simultaneous reveal be synchronized in real time across all participant clients, or is it sufficient that each participant only sees the complete set after the reveal condition is met?","","","","","",""
"B0113","US08","[NEEDS CLARIFICATION] If an estimator submits an estimate and then leaves the round before reveal, should that estimator’s submitted estimate be excluded from the revealed set because they are no longer active?","","","","","",""
"B0114","US08","[NEEDS CLARIFICATION] If all remaining active estimators have submitted but one or more inactive/left estimators previously submitted estimates, should participants see only active estimators’ estimates or all submitted estimates for the round?","","","","","",""
"B0115","US08","[NEEDS CLARIFICATION] If an active estimator leaves, disconnects, or becomes inactive before submitting, should the reveal wait indefinitely, exclude that estimator, or follow another session rule?","","","","","",""
"B0116","US08","[NEEDS CLARIFICATION] What should happen if one or more required estimators never submit an estimate for a draw?","","","","","",""
"B0117","US08","[NEEDS CLARIFICATION] How should late submissions after reveal be handled: rejected entirely, stored but hidden, or recorded separately from the revealed result set?","","","","","",""
"B0118","US08","[NEEDS CLARIFICATION] After the simultaneous reveal occurs, should later submissions or revisions be rejected entirely, recorded but hidden, or shown separately as late/non-reveal estimates?","","","","","",""
"B0119","US08","[NEEDS CLARIFICATION] How is the required estimator set for a draw defined and frozen before deciding that “all estimators” have submitted?","","","","","",""
"B0120","US08","[NEEDS CLARIFICATION] While estimates are hidden, should participants see only a generic waiting state, or should they see the count/names of estimators who have not submitted?","","","","","",""
"B0121","US08","[NEEDS CLARIFICATION] When the final active estimator submits and automatic reveal occurs, should the reveal be immediate in real time for all participants, or is refresh/polling acceptable?","","","","","",""
"B0122","US08","[NEEDS CLARIFICATION] Does “participant” include estimators viewing the draw, or only non-estimator observers?","","","","","",""
"B0123","US08","[NEEDS CLARIFICATION] If a new estimator joins or becomes active after some estimates have already been submitted but before reveal, should that estimator be required before the reveal can occur?","","","","","",""
"B0124","US08","[NEEDS CLARIFICATION] If an estimator submits an estimate and then leaves the round before reveal, should their submitted estimate be included in the revealed set or excluded because they are no longer an active estimator?","","","","","",""
"B0125","US08","[NEEDS CLARIFICATION] Before the reveal, may an estimator-participant see their own submitted estimate, or must all estimates including their own remain hidden in the results view?","","","","","",""
"B0126","US08","[NEEDS CLARIFICATION] Are “required estimators” for a draw exactly the active estimators in the game session at the time the draw starts, or can the required set change during the draw?","","","","","",""
"B0127","US08","[NEEDS CLARIFICATION] Is the required estimator set for a draw fixed at draw start, or should it reflect the current active estimator list at the moment reveal readiness is checked?","","","","","",""
"B0128","US08","[NEEDS CLARIFICATION] Who exactly counts as a “participant” for visibility rules: only non-estimating observers, estimators themselves, or everyone in the session?","","","","","",""
"B0129","US08","[NEEDS CLARIFICATION] After estimates are revealed, should estimators be prevented from revising their estimates entirely, or should later revisions be stored but excluded from the revealed result set?","","","","","",""
"B0130","US18","[NEEDS CLARIFICATION] Should estimator names be trimmed before validation/storage/display, or should leading/trailing spaces be preserved when the name is accepted?","","","","","",""
"B0131","US18","[NEEDS CLARIFICATION] Should two different estimators be allowed to join the same game using the same display name?","","","","","",""
"B0132","US18","[NEEDS CLARIFICATION] What constraints, if any, should apply to the estimator’s entered name beyond being non-empty and not whitespace, such as maximum length, allowed characters, or duplicate names within the same game?","","","","","",""
"B0133","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator remain recognized as joined if they refresh or reopen the same game URL later?","","","","","",""
"B0134","US18","[NEEDS CLARIFICATION] Are there any constraints on valid estimator names beyond being non-empty and not whitespace-only, such as maximum length or forbidden characters?","","","","","",""
"B0135","US18","[NEEDS CLARIFICATION] What condition defines that a game is “no longer accepting participants” for this join flow?","","","","","",""
"B0136","US18","[NEEDS CLARIFICATION] Are there any constraints on estimator names beyond non-empty/non-whitespace, such as maximum length, allowed characters, trimming behavior, or uniqueness within a game?","","","","","",""
"B0137","US18","[NEEDS CLARIFICATION] What should happen when the same browser/page submits the join action more than once with the same valid name: ignore the duplicate, show the existing participation state, or return an error?","","","","","",""
"B0138","US18","[NEEDS CLARIFICATION] What should happen if another participant in the same game already uses the entered name?","","","","","",""
"B0139","US18","[NEEDS CLARIFICATION] What should happen if the same estimator reloads the page or submits the join form again after already joining?","","","","","",""
"B0140","US18","[NEEDS CLARIFICATION] After a successful join, must the estimator be redirected to the active game page, or is an on-page participating confirmation sufficient?","","","","","",""
"B0141","US18","[NEEDS CLARIFICATION] How should the system determine that an estimator is authorized to join a game from the received URL?","","","","","",""
"B0142","US18","[NEEDS CLARIFICATION] How should the system identify “the same join attempt” to prevent duplicate participant entries: same browser/session, same entered name within the same game, or another identifier?","","","","","",""
"B0143","US18","[NEEDS CLARIFICATION] What rules, if any, apply to estimator names beyond being non-empty and not whitespace-only, such as maximum length or allowed characters?","","","","","",""
"B0144","US18","[NEEDS CLARIFICATION] What should happen when an estimator tries to join with a name already used by another active estimator in the same session?","","","","","",""
"B0145","US18","[NEEDS CLARIFICATION] Should names longer than 50 characters be blocked, truncated, or otherwise handled?","","","","","",""
"B0146","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator see an intermediate confirmation state, be immediately redirected to the active game page, or both?","","","","","",""
"B0147","US18","[NEEDS CLARIFICATION] Are there any required constraints on estimator names beyond non-empty and not whitespace-only, such as maximum length or disallowed characters?","","","","","",""
"B0148","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator only see confirmation, or must they be redirected immediately to the active game page?","","","","","",""
"B0149","US18","[NEEDS CLARIFICATION] After successfully joining, what should the estimator be taken to or shown: a waiting area, the game interface, or only a confirmation message?","","","","","",""
"B0150","US18","[NEEDS CLARIFICATION] What condition makes a game “no longer accepting participants”?","","","","","",""
"B0151","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator be taken directly into the game interface, or is a confirmation/participating state sufficient for this feature?","","","","","",""
"B0152","US18","[NEEDS CLARIFICATION] How should the system identify a repeated join attempt from the same estimator/page so it can avoid creating duplicate participant entries?","","","","","",""
"B0153","US18","[NEEDS CLARIFICATION] How should the system identify “the same join attempt” to prevent duplicate participants: browser session, exact estimator name within the game, authenticated user identity, or another mechanism?","","","","","",""
"B0154","US18","[NEEDS CLARIFICATION] What determines whether a game is “no longer accepting participants” for the join flow?","","","","","",""
"B0155","US18","[NEEDS CLARIFICATION] How should the system identify and prevent duplicate participant entries from repeated submissions without requiring account creation or authentication?","","","","","",""
"B0156","US18","[NEEDS CLARIFICATION] Should multiple estimators be allowed to join the same game using the same display name, or must names be unique within a game?","","","","","",""
"B0157","US18","[NEEDS CLARIFICATION] How is the received game URL expected to identify the game, and what makes that URL invalid or non-joinable?","","","","","",""
"B0158","US18","[NEEDS CLARIFICATION] What should “can participate” mean immediately after joining: staying on the join page with confirmation, redirecting to a game screen, or another visible state?","","","","","",""
"B0159","US18","[NEEDS CLARIFICATION] Are there any display-name constraints beyond non-empty/non-whitespace, such as maximum length, allowed characters, or duplicate names within the same game?","","","","","",""
"B0160","US18","[NEEDS CLARIFICATION] How should the system verify that an estimator is authorized to join a game from the received URL?","","","","","",""
"B0161","US18","[NEEDS CLARIFICATION] Are estimator display names required to be unique within a game, and if a duplicate name is entered, what should happen?","","","","","",""
"B0162","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator be redirected to the active game page, rather than only shown a confirmation/participating state?","","","","","",""
"B0163","US18","[NEEDS CLARIFICATION] If an estimator submits a name already used by another active estimator in the same session, what exact outcome should occur: block with an error, allow after disambiguation, or treat as the same participant?","","","","","",""
"B0164","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator remain on a confirmation state or be immediately redirected to the active game page?","","","","","",""
"B0165","US18","[NEEDS CLARIFICATION] What exact condition determines that a game is “no longer accepting participants” for this join flow?","","","","","",""
"B0166","US18","[NEEDS CLARIFICATION] What condition determines that a game is “no longer accepting participants”?","","","","","",""
"B0167","US18","[NEEDS CLARIFICATION] What exact game states should make a URL “not joinable” or “no longer accepting participants”?","","","","","",""
"B0168","US18","[NEEDS CLARIFICATION] When an active estimator name is already in use within the same session, what exact behavior should occur: block the join with an error, allow a renamed duplicate, or treat it as reconnecting the same estimator?","","","","","",""
"B0169","US18","[NEEDS CLARIFICATION] How should the system handle an estimator entering a name already used by another active estimator in the same game session?","","","","","",""
"B0170","US18","[NEEDS CLARIFICATION] For an invalid or unavailable invite URL, should the system expose one generic message or distinguish between invalid invite, unavailable invite, and closed session?","","","","","",""
"B0171","US18","[NEEDS CLARIFICATION] Are there any required constraints for estimator display names beyond non-empty and non-whitespace, such as maximum length, allowed characters, or duplicate names within the same game?","","","","","",""
"B0172","US18","[NEEDS CLARIFICATION] What should happen if two estimators enter the same display name for the same game?","","","","","",""
"B0173","US18","[NEEDS CLARIFICATION] What conditions make a received game URL “not joinable” versus “game no longer accepting participants”?","","","","","",""
"B0174","US18","[NEEDS CLARIFICATION] How should the received URL identify the game to join, and what makes that URL/game “valid” or “joinable”?","","","","","",""
"B0175","US18","[NEEDS CLARIFICATION] What condition determines that a game is “no longer accepting participants”?","","","","","",""
"B0176","US18","[NEEDS CLARIFICATION] Should two estimators in the same game be allowed to join with the same display name?","","","","","",""
"B0177","US18","[NEEDS CLARIFICATION] What should happen when a submitted name is already used by another active estimator in the same game session?","","","","","",""
"B0178","US18","[NEEDS CLARIFICATION] For repeated submissions from the same page without authentication, what identifier should determine that this is the same join attempt rather than a new estimator with the same name?","","","","","",""
"B0179","US18","[NEEDS CLARIFICATION] How should the system identify and prevent duplicate participant entries from repeated submissions of the same join attempt?","","","","","",""
"B0180","US18","[NEEDS CLARIFICATION] After joining without an account, how should the system recognize the same estimator on refresh or return visit to avoid duplicate participation?","","","","","",""
"B0181","US18","[NEEDS CLARIFICATION] How should the system identify and prevent duplicate participant entries from repeated submissions: by browser/session, exact display name within the game, authenticated user identity, or another identifier?","","","","","",""
"B0182","US18","[NEEDS CLARIFICATION] After a successful join, should the estimator remain on a confirmation state or be redirected immediately to the active game page?","","","","","",""
"B0183","US18","[NEEDS CLARIFICATION] How should repeated join submissions be recognized as the same join attempt so duplicate participant entries are avoided?","","","","","",""
"B0184","US18","[NEEDS CLARIFICATION] What should happen after a successful join: remain on a confirmation page, enter the game/lobby immediately, or navigate to another participation view?","","","","","",""
"B0185","US18","[NEEDS CLARIFICATION] Should estimator names be treated as case-sensitive or case-insensitive when preventing duplicate active names within the same game session?","","","","","",""
"B0186","US18","[NEEDS CLARIFICATION] Are duplicate estimator display names allowed within the same game, or must each participant name be unique per game?","","","","","",""
"B0187","US18","[NEEDS CLARIFICATION] What makes an estimator “authorized” to join a game from the received URL?","","","","","",""
"B0188","US18","[NEEDS CLARIFICATION] Should valid estimator names be limited to 1-50 characters, as stated in the operational context?","","","","","",""
"B0189","US18","[NEEDS CLARIFICATION] When an active estimator in the same session already uses the submitted name, should the join be rejected with an error instead of creating another participant?","","","","","",""
"B0190","US25","[NEEDS CLARIFICATION] How should “most relevant” local news events be ranked when multiple eligible events exist for the same municipality?","","","","","",""
"B0191","US25","[NEEDS CLARIFICATION] Which news-event source or existing event feed should the system use to identify relevant local news events?","","","","","",""
"B0192","US25","[NEEDS CLARIFICATION] If fewer than ten eligible local recommendations exist, should the system return only the available local recommendations or fill remaining slots with non-local/general content?","","","","","",""
"B0193","US25","[NEEDS CLARIFICATION] What definition of “current” should be used to decide whether a news event is eligible for recommendations?","","","","","",""
"B0194","US25","[NEEDS CLARIFICATION] Should the user’s area be strictly the municipality from the profile service, or should users also be allowed to confirm/change the area within the recommendation experience?","","","","","",""
"B0195","US25","[NEEDS CLARIFICATION] What criteria make a news event from registered news sources “eligible” to drive recommendations?","","","","","",""
"B0196","US25","[NEEDS CLARIFICATION] Should recommendations explain which local news event caused or influenced each recommended content item?","","","","","",""
"B0197","US25","[NEEDS CLARIFICATION] Should recommendations include only content directly associated with eligible news events, or may they also include broader related topical content as fallback?","","","","","",""
"B0198","US25","[NEEDS CLARIFICATION] Should the recommendation list be capped at a maximum of ten items?","","","","","",""
"B0199","US25","[NEEDS CLARIFICATION] What types of content are eligible for recommendation, and must they be news articles specifically or any related content?","","","","","",""
"B0200","US25","[NEEDS CLARIFICATION] What time window defines a “current” local news event versus a stale event?","","","","","",""
"B0201","US25","[NEEDS CLARIFICATION] How recent must a news event be to count as “current,” and after what threshold should it be treated as stale?","","","","","",""
"B0202","US25","[NEEDS CLARIFICATION] Should “my area” be limited strictly to the municipality registered in the profile service, or may users manually confirm/change the area used for recommendations?","","","","","",""
"B0203","US25","[NEEDS CLARIFICATION] What geographic boundary should “my area” use for matching news events: user-selected city/region, inferred current location, neighborhood-level area, or another defined scope?","","","","","",""
"B0204","US25","[NEEDS CLARIFICATION] What information does the platform’s news service provide for each event, especially location, timestamp, topic, significance, and duplicate detection fields?","","","","","",""
"B0205","US25","[NEEDS CLARIFICATION] What maximum age should a news event have to count as “current” rather than stale?","","","","","",""
"B0206","US25","[NEEDS CLARIFICATION] How should the relevance score combine recency and assigned event importance, including weighting and tie-breaking?","","","","","",""
"B0207","US25","[NEEDS CLARIFICATION] What types of content are eligible to be recommended based on local news events?","","","","","",""
"B0208","US25","[NEEDS CLARIFICATION] How should the system define “current” versus stale news events, including any time window or expiration rule?","","","","","",""
"B0209","US25","[NEEDS CLARIFICATION] What types of content items are eligible to be recommended based on local news events?","","","","","",""
