"question_uid","run_id","user_story_id","condition","repetition","attempt","question_order","question_text_raw","segment_id","segment_text","normalized_need","mapped_gap_id","mapping_status","notes"
"US02_C0_R3_Q02","US02_C0_R3","US02","C0","3","1","2","[NEEDS CLARIFICATION] What maximum distance should define “nearby” recycling facilities?","","","","","",""
"US02_C0_R3_Q03","US02_C0_R3","US02","C0","3","1","3","[NEEDS CLARIFICATION] What source of facility data should the system use, and how fresh must that data be?","","","","","",""
"US02_C0_R3_Q04","US02_C0_R3","US02","C0","3","1","4","[NEEDS CLARIFICATION] Which recycling details are required for users to compare facilities, beyond name, address, and distance?","","","","","",""
"US02_C0_R3_Q05","US02_C0_R3","US02","C0","3","1","5","[NEEDS CLARIFICATION] Should users be able to filter or identify facilities by accepted material type?","","","","","",""
"US02_CL_R1_Q01","US02_CL_R1","US02","CL","1","1","1","[NEEDS CLARIFICATION] What supported region or service area should ZIP code searches cover?","","","","","",""
"US02_CL_R1_Q02","US02_CL_R1","US02","CL","1","1","2","[NEEDS CLARIFICATION] What distance threshold should define “nearby” recycling facilities?","","","","","",""
"US02_CL_R1_Q03","US02_CL_R1","US02","CL","1","1","3","[NEEDS CLARIFICATION] What facility data source should be used, and how fresh must the facility information be?","","","","","",""
"US02_CL_R1_Q04","US02_CL_R1","US02","CL","1","1","4","[NEEDS CLARIFICATION] Which recycling details are required for users to determine which facilities to consider, beyond name, address, and distance?","","","","","",""
"US02_CL_R2_Q01","US02_CL_R2","US02","CL","2","1","1","[NEEDS CLARIFICATION] What supported region or ZIP code format should the feature accept?","","","","","",""
"US02_CL_R2_Q02","US02_CL_R2","US02","CL","2","1","2","[NEEDS CLARIFICATION] What search radius should define “nearby” recycling facilities?","","","","","",""
"US02_CL_R2_Q03","US02_CL_R2","US02","CL","2","1","3","[NEEDS CLARIFICATION] What facility data source should be used to determine available recycling facilities and their details?","","","","","",""
"US02_CL_R2_Q04","US02_CL_R2","US02","CL","2","1","4","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones I should consider” beyond name, address, and distance?","","","","","",""
"US02_CL_R2_Q05","US02_CL_R2","US02","CL","2","1","5","[NEEDS CLARIFICATION] How should distance be calculated and displayed for sorting facilities by proximity?","","","","","",""
"US02_CL_R3_Q01","US02_CL_R3","US02","CL","3","1","1","[NEEDS CLARIFICATION] What ZIP code region or format must be supported for this feature?","","","","","",""
"US02_CL_R3_Q02","US02_CL_R3","US02","CL","3","1","2","[NEEDS CLARIFICATION] What search radius should define “nearby” recycling facilities?","","","","","",""
"US02_CL_R3_Q03","US02_CL_R3","US02","CL","3","1","3","[NEEDS CLARIFICATION] What minimum facility details, beyond name, address, and distance, are required for a user to determine which facilities to consider?","","","","","",""
"US02_CL_R3_Q04","US02_CL_R3","US02","CL","3","1","4","[NEEDS CLARIFICATION] Should results include facilities with only partial or unverified recycling details, and if so how should that uncertainty be shown?","","","","","",""
"US02_CO_R1_Q01","US02_CO_R1","US02","CO","1","1","1","[NEEDS CLARIFICATION] Should “nearby” use the 25 km radius from the operational context, or the 25 miles radius currently assumed in `spec.md`?","","","","","",""
"US02_CO_R1_Q02","US02_CO_R1","US02","CO","1","1","2","[NEEDS CLARIFICATION] Are accepted material types mandatory for every facility result, as stated in the operational context, or optional decision-support details as currently described in `spec.md`?","","","","","",""
"US02_CO_R1_Q03","US02_CO_R1","US02","CO","1","1","3","[NEEDS CLARIFICATION] How should the system distinguish an unrecognized ZIP code from a valid ZIP code with no active verified facilities within the search radius?","","","","","",""
"US02_CO_R2_Q01","US02_CO_R2","US02","CO","2","1","1","[NEEDS CLARIFICATION] Should “nearby” be defined as within 25 km, as stated in context, rather than 25 miles as stated in spec.md?","","","","","",""
"US02_CO_R2_Q02","US02_CO_R2","US02","CO","2","1","2","[NEEDS CLARIFICATION] Should ZIP validation accept only 5-digit ZIP codes and ZIP+4 formats?","","","","","",""
"US02_CO_R2_Q03","US02_CO_R2","US02","CO","2","1","3","[NEEDS CLARIFICATION] Should results include only recycling facilities with active and verified records?","","","","","",""
"US02_CO_R2_Q04","US02_CO_R2","US02","CO","2","1","4","[NEEDS CLARIFICATION] Are accepted material types required for every facility result, rather than optional “when known” details?","","","","","",""
"US02_CO_R2_Q05","US02_CO_R2","US02","CO","2","1","5","[NEEDS CLARIFICATION] For a valid but unrecognized ZIP, should the system show the specific “ZIP could not be recognized” message and skip the search?","","","","","",""
"US02_CO_R3_Q01","US02_CO_R3","US02","CO","3","1","1","[NEEDS CLARIFICATION] Should “nearby” use the 25 km radius stated in context, replacing the spec’s current 25-mile assumption?","","","","","",""
"US02_CO_R3_Q02","US02_CO_R3","US02","CO","3","1","2","[NEEDS CLARIFICATION] Should accepted material types be required for every facility result, as stated in context, rather than optional decision-support details?","","","","","",""
"US02_CO_R3_Q03","US02_CO_R3","US02","CO","3","1","3","[NEEDS CLARIFICATION] Should results be limited exclusively to facilities with active and verified registrations?","","","","","",""
"US02_CO_R3_Q04","US02_CO_R3","US02","CO","3","1","4","[NEEDS CLARIFICATION] For an unrecognized ZIP code, should the system treat it as invalid input and avoid running the search entirely?","","","","","",""
"US02_CD_R1_Q01","US02_CD_R1","US02","CD","1","1","1","[NEEDS CLARIFICATION] What supported geographic region or service area should ZIP code searches cover?","","","","","",""
"US02_CD_R1_Q02","US02_CD_R1","US02","CD","1","1","2","[NEEDS CLARIFICATION] What source of recycling facility data should the system use, and how should it handle stale or unverified facility information?","","","","","",""
"US02_CD_R1_Q03","US02_CD_R1","US02","CD","1","1","3","[NEEDS CLARIFICATION] What search radius should define “nearby” facilities if the initial ZIP code has few or no results?","","","","","",""
"US02_CD_R1_Q04","US02_CD_R1","US02","CD","1","1","4","[NEEDS CLARIFICATION] Which facility details are required to help users decide which facilities to consider beyond name, address, and distance?","","","","","",""
"US02_CD_R2_Q01","US02_CD_R2","US02","CD","2","1","1","[NEEDS CLARIFICATION] What supported region or service area should ZIP code searches cover?","","","","","",""
"US02_CD_R2_Q02","US02_CD_R2","US02","CD","2","1","2","[NEEDS CLARIFICATION] What radius or rule should define “nearby” recycling facilities?","","","","","",""
"US02_CD_R2_Q03","US02_CD_R2","US02","CD","2","1","3","[NEEDS CLARIFICATION] What facility data source should be used, and how current does the facility information need to be?","","","","","",""
"US02_CD_R2_Q04","US02_CD_R2","US02","CD","2","1","4","[NEEDS CLARIFICATION] Should distance be calculated as straight-line distance from the ZIP centroid, driving distance, or another method?","","","","","",""
"US02_CD_R2_Q05","US02_CD_R2","US02","CD","2","1","5","[NEEDS CLARIFICATION] Which recycling details are required for users to decide which facilities to consider, beyond name, address, and distance?","","","","","",""
"US02_CD_R3_Q01","US02_CD_R3","US02","CD","3","1","1","[NEEDS CLARIFICATION] What supported service area and ZIP code format should the product accept?","","","","","",""
"US02_CD_R3_Q02","US02_CD_R3","US02","CD","3","1","2","[NEEDS CLARIFICATION] What distance or radius defines “nearby” recycling facilities?","","","","","",""
"US02_CD_R3_Q03","US02_CD_R3","US02","CD","3","1","3","[NEEDS CLARIFICATION] What source should facility data come from, and how current must it be?","","","","","",""
"US02_CD_R3_Q04","US02_CD_R3","US02","CD","3","1","4","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones to consider” beyond name, address, and distance?","","","","","",""
"US02_CS_R1_Q01","US02_CS_R1","US02","CS","1","1","1","[NEEDS CLARIFICATION] What ZIP code format and supported geographic area should the search accept?","","","","","",""
"US02_CS_R1_Q02","US02_CS_R1","US02","CS","1","1","2","[NEEDS CLARIFICATION] How should “nearby” be defined for returning facilities, such as a fixed radius, configurable radius, or a result count limit?","","","","","",""
"US02_CS_R1_Q03","US02_CS_R1","US02","CS","1","1","3","[NEEDS CLARIFICATION] What facility details are required in each result so the user can determine which facilities to consider?","","","","","",""
"US02_CS_R2_Q01","US02_CS_R2","US02","CS","2","1","1","[NEEDS CLARIFICATION] What radius or rule defines “nearby” facilities for a submitted ZIP code?","","","","","",""
"US02_CS_R2_Q02","US02_CS_R2","US02","CS","2","1","2","[NEEDS CLARIFICATION] What ZIP formats or geographic regions are supported?","","","","","",""
"US02_CS_R2_Q03","US02_CS_R2","US02","CS","2","1","3","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones they should consider” beyond name, address, and distance?","","","","","",""
"US02_CS_R2_Q04","US02_CS_R2","US02","CS","2","1","4","[NEEDS CLARIFICATION] How should the system handle facilities with incomplete or stale data in the platform’s facility registry?","","","","","",""
"US02_CS_R3_Q01","US02_CS_R3","US02","CS","3","1","1","[NEEDS CLARIFICATION] What supported geographic region/service area should ZIP code searches cover?","","","","","",""
"US02_CS_R3_Q02","US02_CS_R3","US02","CS","3","1","2","[NEEDS CLARIFICATION] What distance radius or rule defines “nearby” recycling facilities?","","","","","",""
"US02_CS_R3_Q03","US02_CS_R3","US02","CS","3","1","3","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones to consider” beyond name, address, and distance?","","","","","",""
"US02_CS_R3_Q04","US02_CS_R3","US02","CS","3","1","4","[NEEDS CLARIFICATION] How should the system behave when the geocoding service or facility registry is unavailable or returns incomplete data?","","","","","",""
"US02_CT_R1_Q01","US02_CT_R1","US02","CT","1","1","1","[NEEDS CLARIFICATION] Should “nearby” use the context-defined radius of 25 km, replacing the spec’s current assumption of 25 miles?","","","","","",""
"US02_CT_R1_Q02","US02_CT_R1","US02","CT","1","1","2","[NEEDS CLARIFICATION] Should accepted material types be mandatory for every facility result, as stated in context, instead of optional decision-support details as written in FR-006?","","","","","",""
"US02_CT_R1_Q03","US02_CT_R1","US02","CT","1","1","3","[NEEDS CLARIFICATION] How should the system message distinguish between an invalid ZIP format, a recognized ZIP with no nearby facilities, and a ZIP that cannot be recognized by the geocoding service?","","","","","",""
"US02_CT_R1_Q04","US02_CT_R1","US02","CT","1","1","4","[NEEDS CLARIFICATION] Should results be limited exclusively to facilities with active and verified records, and should inactive/unverified facilities be hidden even if geographically nearby?","","","","","",""
"US02_CT_R2_Q01","US02_CT_R2","US02","CT","2","1","1","[NEEDS CLARIFICATION] Should ""nearby"" be defined as within 25 km, replacing the current 25 miles assumption in `spec.md`?","","","","","",""
"US02_CT_R2_Q02","US02_CT_R2","US02","CT","2","1","2","[NEEDS CLARIFICATION] Should valid ZIP input explicitly include only 5-digit ZIP codes and ZIP+4 formats?","","","","","",""
"US02_CT_R2_Q03","US02_CT_R2","US02","CT","2","1","3","[NEEDS CLARIFICATION] Should results be limited to recycling facilities with active and verified platform records only?","","","","","",""
"US02_CT_R2_Q04","US02_CT_R2","US02","CT","2","1","4","[NEEDS CLARIFICATION] When ZIP geocoding fails because the ZIP cannot be recognized, should this be treated as the same user-facing state as an invalid ZIP, or as a separate error state?","","","","","",""
"US02_CT_R3_Q01","US02_CT_R3","US02","CT","3","1","1","[NEEDS CLARIFICATION] What message or user action should be provided when the ZIP geocoding service or facility registry is temporarily unavailable?","","","","","",""
"US08_C0_R1_Q01","US08_C0_R1","US08","C0","1","1","1","[NEEDS CLARIFICATION] How is the required estimator set for a draw defined and frozen before deciding that “all estimators” have submitted?","","","","","",""
"US08_C0_R1_Q02","US08_C0_R1","US08","C0","1","1","2","[NEEDS CLARIFICATION] Are estimators allowed to revise or resubmit estimates before the simultaneous reveal occurs?","","","","","",""
"US08_C0_R1_Q03","US08_C0_R1","US08","C0","1","1","3","[NEEDS CLARIFICATION] What should happen if an estimator submits after the estimates have already been revealed?","","","","","",""
"US08_C0_R1_Q04","US08_C0_R1","US08","C0","1","1","4","[NEEDS CLARIFICATION] What information may participants see while waiting: only a generic waiting state, or also submission progress such as “2 of 3 submitted”?","","","","","",""
"US08_C0_R2_Q01","US08_C0_R2","US08","C0","2","1","1","[NEEDS CLARIFICATION] Who counts as a “required estimator” for a draw, and can that required set change after the draw has started?","","","","","",""
"US08_C0_R2_Q02","US08_C0_R2","US08","C0","2","1","2","[NEEDS CLARIFICATION] What should the participant see while waiting: only a generic waiting state, or also non-estimate metadata such as number of submitted estimates, missing estimator names, or progress count?","","","","","",""
"US08_C0_R2_Q03","US08_C0_R2","US08","C0","2","1","3","[NEEDS CLARIFICATION] If an estimator fails to submit, is there any timeout, cancellation, override, or manual reveal path, or must estimates remain hidden indefinitely?","","","","","",""
"US08_C0_R2_Q04","US08_C0_R2","US08","C0","2","1","4","[NEEDS CLARIFICATION] After estimates are revealed, should estimators be prevented from revising their estimates entirely, or should later revisions be stored but excluded from the revealed result set?","","","","","",""
"US08_C0_R3_Q01","US08_C0_R3","US08","C0","3","1","1","[NEEDS CLARIFICATION] Who counts as an “estimator required for that draw” when reveal readiness is evaluated?","","","","","",""
"US08_C0_R3_Q02","US08_C0_R3","US08","C0","3","1","2","[NEEDS CLARIFICATION] Should estimators themselves also be prevented from seeing other estimates before the simultaneous reveal, or is this requirement limited to participants?","","","","","",""
"US08_C0_R3_Q03","US08_C0_R3","US08","C0","3","1","3","[NEEDS CLARIFICATION] What should happen if a required estimator never submits an estimate for a draw?","","","","","",""
"US08_C0_R3_Q04","US08_C0_R3","US08","C0","3","1","4","[NEEDS CLARIFICATION] After estimates are revealed, should later estimate changes be blocked entirely, recorded but hidden, or allowed to update the revealed result set?","","","","","",""
"US08_CL_R1_Q01","US08_CL_R1","US08","CL","1","1","1","[NEEDS CLARIFICATION] Who is included in the “all estimators” set for a draw: every estimator assigned before the draw starts, only estimators currently active/available, or another defined required subset?","","","","","",""
"US08_CL_R1_Q02","US08_CL_R1","US08","CL","1","1","2","[NEEDS CLARIFICATION] Are estimators themselves also allowed to view revealed estimates as participants, and if so must they be subject to the same hidden-until-complete reveal rule?","","","","","",""
"US08_CL_R1_Q03","US08_CL_R1","US08","CL","1","1","3","[NEEDS CLARIFICATION] What should happen if a required estimator never submits an estimate: should the draw wait indefinitely, allow cancellation, allow an override, or use a timeout rule?","","","","","",""
"US08_CL_R2_Q01","US08_CL_R2","US08","CL","2","1","1","[NEEDS CLARIFICATION] Are estimators themselves allowed to see any submitted estimates before they have submitted their own estimate, or does the hidden-until-complete rule apply to every participant role?","","","","","",""
"US08_CL_R2_Q02","US08_CL_R2","US08","CL","2","1","2","[NEEDS CLARIFICATION] Should the simultaneous reveal happen automatically in real time when the final required estimate is submitted, or is it acceptable for users to see it only after refreshing or re-opening the draw?","","","","","",""
"US08_CL_R2_Q03","US08_CL_R2","US08","CL","2","1","3","[NEEDS CLARIFICATION] What should happen if a required estimator never submits an estimate: should the draw wait indefinitely, allow an authorized override, or support a timeout/exclusion mechanism?","","","","","",""
"US08_CL_R2_Q04","US08_CL_R2","US08","CL","2","1","4","[NEEDS CLARIFICATION] After estimates have been revealed, are estimators allowed to revise their estimates, and if so should those revisions be shown, blocked, or tracked separately?","","","","","",""
"US08_CL_R3_Q01","US08_CL_R3","US08","CL","3","1","1","[NEEDS CLARIFICATION] Does “all estimators” mean every active estimator in the round, or only the estimators assigned/required for the specific draw?","","","","","",""
"US08_CL_R3_Q02","US08_CL_R3","US08","CL","3","1","2","[NEEDS CLARIFICATION] Before the reveal, may an estimator-participant see their own submitted estimate, or must all estimates including their own remain hidden in the results view?","","","","","",""
"US08_CL_R3_Q03","US08_CL_R3","US08","CL","3","1","3","[NEEDS CLARIFICATION] After the simultaneous reveal occurs, should later submissions or revisions be rejected entirely, recorded but hidden, or shown separately as late/non-reveal estimates?","","","","","",""
"US08_CO_R1_Q01","US08_CO_R1","US08","CO","1","1","1","[NEEDS CLARIFICATION] If an estimator submits an estimate and then leaves the round before reveal, should that estimator’s submitted estimate be excluded from the revealed set because they are no longer active?","","","","","",""
"US08_CO_R1_Q02","US08_CO_R1","US08","CO","1","1","2","[NEEDS CLARIFICATION] If all remaining active estimators have submitted but one or more inactive/left estimators previously submitted estimates, should participants see only active estimators’ estimates or all submitted estimates for the round?","","","","","",""
"US08_CO_R2_Q01","US08_CO_R2","US08","CO","2","1","1","[NEEDS CLARIFICATION] If a new estimator joins or becomes active after some estimates have already been submitted but before reveal, should that estimator be required before the reveal can occur?","","","","","",""
"US08_CO_R2_Q02","US08_CO_R2","US08","CO","2","1","2","[NEEDS CLARIFICATION] After reveal, should participants see estimates linked to estimator identities, anonymized, or according to an existing visibility rule?","","","","","",""
"US08_CO_R2_Q03","US08_CO_R2","US08","CO","2","1","3","[NEEDS CLARIFICATION] If an active estimator leaves the round after submitting an estimate but before reveal, should their submitted estimate remain in the revealed set or be excluded?","","","","","",""
"US08_CO_R3_Q01","US08_CO_R3","US08","CO","3","1","1","[NEEDS CLARIFICATION] If a new estimator becomes active after a draw has already started but before reveal, should that estimator be included in the required set for that draw?","","","","","",""
"US08_CO_R3_Q02","US08_CO_R3","US08","CO","3","1","2","[NEEDS CLARIFICATION] When the final active estimator submits and automatic reveal occurs, should the reveal be immediate in real time for all participants, or is refresh/polling acceptable?","","","","","",""
"US08_CO_R3_Q03","US08_CO_R3","US08","CO","3","1","3","[NEEDS CLARIFICATION] Are estimators themselves considered “participants” for estimate visibility, meaning they also must not see any other estimates before the simultaneous reveal?","","","","","",""
"US08_CD_R1_Q01","US08_CD_R1","US08","CD","1","1","1","[NEEDS CLARIFICATION] Are estimators themselves also considered participants/viewers who must be prevented from seeing any estimates before the simultaneous reveal, or does this visibility rule apply only to non-estimating participants?","","","","","",""
"US08_CD_R2_Q01","US08_CD_R2","US08","CD","2","1","1","[NEEDS CLARIFICATION] Who exactly counts as “all estimators” for a draw, and at what point is that required estimator set finalized?","","","","","",""
"US08_CD_R2_Q02","US08_CD_R2","US08","CD","2","1","2","[NEEDS CLARIFICATION] If one or more required estimators never submit an estimate, should the reveal wait indefinitely, expire/cancel the draw, or follow another existing workflow rule?","","","","","",""
"US08_CD_R2_Q03","US08_CD_R2","US08","CD","2","1","3","[NEEDS CLARIFICATION] Does “participant” include estimators viewing the draw, or only non-estimating observers/participants?","","","","","",""
"US08_CD_R2_Q04","US08_CD_R2","US08","CD","2","1","4","[NEEDS CLARIFICATION] Must the simultaneous reveal be synchronized in real time across all participant clients, or is it sufficient that each participant only sees the complete set after the reveal condition is met?","","","","","",""
"US08_CD_R3_Q01","US08_CD_R3","US08","CD","3","1","1","[NEEDS CLARIFICATION] What should happen if one or more required estimators never submit an estimate for a draw?","","","","","",""
"US08_CD_R3_Q02","US08_CD_R3","US08","CD","3","1","2","[NEEDS CLARIFICATION] While estimates are hidden, should participants see only a generic waiting state, or should they see the count/names of estimators who have not submitted?","","","","","",""
"US08_CD_R3_Q03","US08_CD_R3","US08","CD","3","1","3","[NEEDS CLARIFICATION] If the required estimator set changes after a draw has started, should reveal readiness use the original set or the updated set?","","","","","",""
"US08_CD_R3_Q04","US08_CD_R3","US08","CD","3","1","4","[NEEDS CLARIFICATION] How should late submissions after reveal be handled: rejected entirely, stored but hidden, or recorded separately from the revealed result set?","","","","","",""
"US08_CS_R1_Q01","US08_CS_R1","US08","CS","1","1","1","[NEEDS CLARIFICATION] Is the required estimator set for a draw fixed at draw start, or should it reflect the current active estimator list at the moment reveal readiness is checked?","","","","","",""
"US08_CS_R1_Q02","US08_CS_R1","US08","CS","1","1","2","[NEEDS CLARIFICATION] Who exactly counts as a “participant” for visibility rules: only non-estimating observers, estimators themselves, or everyone in the session?","","","","","",""
"US08_CS_R1_Q03","US08_CS_R1","US08","CS","1","1","3","[NEEDS CLARIFICATION] When estimates are still hidden, should participants see only a generic waiting state or also progress information such as how many estimators have submitted?","","","","","",""
"US08_CS_R2_Q01","US08_CS_R2","US08","CS","2","1","1","[NEEDS CLARIFICATION] Is the “required estimators” set fixed when the draw starts, or should it be recalculated from the active estimator list at reveal time?","","","","","",""
"US08_CS_R2_Q02","US08_CS_R2","US08","CS","2","1","2","[NEEDS CLARIFICATION] If an estimator becomes inactive or leaves before submitting, should the reveal wait indefinitely, exclude that estimator, or require some explicit session action before reveal?","","","","","",""
"US08_CS_R2_Q03","US08_CS_R2","US08","CS","2","1","3","[NEEDS CLARIFICATION] While estimates are hidden, should participants see only that submissions are pending, or may they see submission status/counts such as “3 of 5 submitted” or which estimators have submitted?","","","","","",""
"US08_CS_R3_Q01","US08_CS_R3","US08","CS","3","1","1","[NEEDS CLARIFICATION] Are “required estimators” for a draw exactly the active estimators in the game session at the time the draw starts, or can the required set change during the draw?","","","","","",""
"US08_CS_R3_Q02","US08_CS_R3","US08","CS","3","1","2","[NEEDS CLARIFICATION] If an active estimator leaves, disconnects, or becomes inactive before submitting, should the reveal wait indefinitely, exclude that estimator, or follow another session rule?","","","","","",""
"US08_CS_R3_Q03","US08_CS_R3","US08","CS","3","1","3","[NEEDS CLARIFICATION] Does “participant” include estimators viewing the draw, or only non-estimator observers?","","","","","",""
"US08_CT_R1_Q01","US08_CT_R1","US08","CT","1","1","1","[NEEDS CLARIFICATION] Should reveal readiness be based on the current active estimators at the moment of evaluation, excluding estimators who leave the round before reveal?","","","","","",""
"US08_CT_R1_Q02","US08_CT_R1","US08","CT","1","1","2","[NEEDS CLARIFICATION] While waiting for reveal, should participants see only a generic waiting state, or may they see progress information such as number of submitted/missing estimates or estimator names?","","","","","",""
"US08_CT_R2_Q01","US08_CT_R2","US08","CT","2","1","1","[NEEDS CLARIFICATION] If an estimator submits an estimate and then leaves the round before reveal, should their previously submitted estimate be excluded from the revealed set?","","","","","",""
"US08_CT_R2_Q02","US08_CT_R2","US08","CT","2","1","2","[NEEDS CLARIFICATION] If a new estimator becomes active after other estimators have already submitted but before reveal, must the system wait for that new estimator’s estimate before revealing?","","","","","",""
"US08_CT_R2_Q03","US08_CT_R2","US08","CT","2","1","3","[NEEDS CLARIFICATION] If all estimators leave before reveal and the active estimator set becomes empty, should the round reveal no estimates, remain waiting, or enter a distinct “no estimates” state?","","","","","",""
"US08_CT_R3_Q01","US08_CT_R3","US08","CT","3","1","1","[NEEDS CLARIFICATION] If an estimator submits an estimate and then leaves the round before reveal, should their submitted estimate be included in the revealed set or excluded because they are no longer an active estimator?","","","","","",""
"US08_CT_R3_Q02","US08_CT_R3","US08","CT","3","1","2","[NEEDS CLARIFICATION] Are revealed estimates visible to all round participants, including estimators, or only to non-estimating participant viewers?","","","","","",""
"US08_CT_R3_Q03","US08_CT_R3","US08","CT","3","1","3","[NEEDS CLARIFICATION] After automatic reveal has occurred, should the system block further estimate submissions entirely, or allow them while excluding them from the revealed result set?","","","","","",""
"US18_C0_R1_Q01","US18_C0_R1","US18","C0","1","1","1","[NEEDS CLARIFICATION] How should the system identify and prevent duplicate participant entries from repeated submissions: by browser/session, exact display name within the game, authenticated user identity, or another identifier?","","","","","",""
"US18_C0_R1_Q02","US18_C0_R1","US18","C0","1","1","2","[NEEDS CLARIFICATION] What should happen after a successful join: remain on a confirmation page, enter the game/lobby immediately, or navigate to another participation view?","","","","","",""
"US18_C0_R1_Q03","US18_C0_R1","US18","C0","1","1","3","[NEEDS CLARIFICATION] Are there any constraints on estimator names beyond non-empty/non-whitespace, such as maximum length, allowed characters, trimming behavior, or uniqueness within a game?","","","","","",""
"US18_C0_R1_Q04","US18_C0_R1","US18","C0","1","1","4","[NEEDS CLARIFICATION] What conditions make a received game URL “not joinable” versus “game no longer accepting participants”?","","","","","",""
"US18_C0_R2_Q01","US18_C0_R2","US18","C0","2","1","1","[NEEDS CLARIFICATION] How should the received URL identify the game to join, and what makes that URL/game “valid” or “joinable”?","","","","","",""
"US18_C0_R2_Q02","US18_C0_R2","US18","C0","2","1","2","[NEEDS CLARIFICATION] What constraints, if any, should apply to the estimator’s entered name beyond being non-empty and not whitespace, such as maximum length, allowed characters, or duplicate names within the same game?","","","","","",""
"US18_C0_R2_Q03","US18_C0_R2","US18","C0","2","1","3","[NEEDS CLARIFICATION] After successfully joining, what should the estimator be taken to or shown: a waiting area, the game interface, or only a confirmation message?","","","","","",""
"US18_C0_R2_Q04","US18_C0_R2","US18","C0","2","1","4","[NEEDS CLARIFICATION] What should happen if the same estimator reloads the page or submits the join form again after already joining?","","","","","",""
"US18_C0_R3_Q01","US18_C0_R3","US18","C0","3","1","1","[NEEDS CLARIFICATION] How is the received game URL expected to identify the game, and what makes that URL invalid or non-joinable?","","","","","",""
"US18_C0_R3_Q02","US18_C0_R3","US18","C0","3","1","2","[NEEDS CLARIFICATION] What condition determines that a game is “no longer accepting participants”?","","","","","",""
"US18_C0_R3_Q03","US18_C0_R3","US18","C0","3","1","3","[NEEDS CLARIFICATION] What should happen if another participant in the same game already uses the entered name?","","","","","",""
"US18_C0_R3_Q04","US18_C0_R3","US18","C0","3","1","4","[NEEDS CLARIFICATION] What rules, if any, apply to estimator names beyond being non-empty and not whitespace-only, such as maximum length or allowed characters?","","","","","",""
"US18_C0_R3_Q05","US18_C0_R3","US18","C0","3","1","5","[NEEDS CLARIFICATION] What should “can participate” mean immediately after joining: staying on the join page with confirmation, redirecting to a game screen, or another visible state?","","","","","",""
"US18_CL_R1_Q01","US18_CL_R1","US18","CL","1","1","1","[NEEDS CLARIFICATION] How should the system determine that an estimator is authorized to join a game from the received URL?","","","","","",""
"US18_CL_R1_Q02","US18_CL_R1","US18","CL","1","1","2","[NEEDS CLARIFICATION] Are estimator display names required to be unique within a game, and if a duplicate name is entered, what should happen?","","","","","",""
"US18_CL_R1_Q03","US18_CL_R1","US18","CL","1","1","3","[NEEDS CLARIFICATION] How should repeated join submissions be recognized as the same join attempt so duplicate participant entries are avoided?","","","","","",""
"US18_CL_R1_Q04","US18_CL_R1","US18","CL","1","1","4","[NEEDS CLARIFICATION] What condition makes a game “no longer accepting participants”?","","","","","",""
"US18_CL_R2_Q01","US18_CL_R2","US18","CL","2","1","1","[NEEDS CLARIFICATION] How should the system verify that an estimator is authorized to join a game from the received URL?","","","","","",""
"US18_CL_R2_Q02","US18_CL_R2","US18","CL","2","1","2","[NEEDS CLARIFICATION] What should happen if two estimators enter the same display name for the same game?","","","","","",""
