"user_story_id","gap_id","condition","gap_state"
"US25","G08","CD","OPEN"
"US25","G08","CS","OPEN"
"US25","G08","CT","ANSWERED"
"US25","G09","C0","OPEN"
"US25","G09","CL","OPEN"
"US25","G09","CO","OPEN"
"US25","G09","CD","OPEN"
"US25","G09","CS","ANSWERED"
"US25","G09","CT","ANSWERED"
"US25","G10","C0","OPEN"
"US25","G10","CL","OPEN"
"US25","G10","CO","OPEN"
"US25","G10","CD","OPEN"
"US25","G10","CS","ANSWERED"
"US25","G10","CT","ANSWERED"
"US25","G11","C0","OPEN"
"US25","G11","CL","OPEN"
"US25","G11","CO","OPEN"
"US25","G11","CD","ANSWERED"
"US25","G11","CS","OPEN"
"US25","G11","CT","ANSWERED"
